SAS Name,Label,Type,Length,2015 1,2016+  1
BENE_ID,Encrypted CCW Beneficiary ID,Char,15.0,1,1.0
ENC_JOIN_KEY,Unique Encounter Join Key,Char,15.0,2,2.0
CLM_TYPE_CD,Claim Type Code,Char,4.0,3,3.0
CLM_LINE_NUM,Claim Line Number,Num,13.0,4,4.0
LINE_NUM_ORIG ,Original Claim Line Number,Num,13.0,19,19.0
CLM_THRU_DT,Claim Through Date,Date,8.0,5,5.0
PRVDR_NPI,DME Line Supplier NPI,Char,10.0,6,6.0
PRVDR_SPCLTY,Line CMS Provider Specialty Code,Char,2.0,7,7.0
LINE_SRVC_CNT,Line Service Count,Num,12.0,8,8.0
LINE_PLACE_OF_SRVC_CD,Line Place of Service Code,Char,2.0,9,9.0
LINE_1ST_EXPNS_DT,Line First Expense Date,Date,8.0,10,10.0
LINE_LAST_EXPNS_DT,Line Last Expense Date,Date,8.0,11,11.0
HCPCS_CD,HCFA Common Procedure Coding System (HCPCS) Code,Char,5.0,12,12.0
HCPCS_1ST_MDFR_CD,HCPCS Initial Modifier Code,Char,2.0,13,13.0
HCPCS_2ND_MDFR_CD,HCPCS Second Modifier Code,Char,2.0,14,14.0
HCPCS_3RD_MDFR_CD,HCPCS Third Modifier Code ,Char,2.0,15,15.0
HCPCS_4TH_MDFR_CD,HCPCS Fourth Modifier Code ,Char,2.0,16,16.0
LINE_NDC_CD,Line National Drug Code (NDC),Char,11.0,17,17.0
LINE_LTST_CLM_IND,Line Latest Claim Indicator,Char,1.0,18,18.0
