Short SAS name,Long SAS name,Label,Type,Length,DME file sequence1,New variables
BENE_ID,BENE_ID,Encrypted CCW Beneficiary ID,CHAR,15.0,1.0,
CLM_ID,CLM_ID,Claim ID,CHAR,15.0,2.0,
LINE_NUM,LINE_NUM,Claim Line Number,NUM,13.0,3.0,
CLM_TYPE,NCH_CLM_TYPE_CD,NCH Claim Type Code,CHAR,2.0,4.0,
THRU_DT,CLM_THRU_DT,Claim Through Date,DATE,8.0,5.0,
TAX_NUM,TAX_NUM,Line Provider Tax Number,CHAR,10.0,6.0,
HCFASPCL,PRVDR_SPCLTY,Line CMS Provider Specialty Code,CHAR,3.0,7.0,
PRTCPTG,PRTCPTNG_IND_CD,Line Provider Participating Indicator Code,CHAR,1.0,8.0,
SRVC_CNT,LINE_SRVC_CNT,Line Service Count,NUM,4.0,9.0,
TYPSRVCB,LINE_CMS_TYPE_SRVC_CD,Line CMS Type Service Code,CHAR,1.0,10.0,
PLCSRVC,LINE_PLACE_OF_SRVC_CD,Line Place of Service Code,CHAR,2.0,11.0,
EXPNSDT1,LINE_1ST_EXPNS_DT,Line First Expense Date,DATE,8.0,12.0,
EXPNSDT2,LINE_LAST_EXPNS_DT,Line Last Expense Date,DATE,8.0,13.0,
HCPCS_CD,HCPCS_CD,Healthcare Common Procedure Coding System (HCPCS) Code,CHAR,5.0,14.0,
MDFR_CD1,HCPCS_1ST_MDFR_CD,HCPCS Initial Modifier Code,CHAR,5.0,15.0,
MDFR_CD2,HCPCS_2ND_MDFR_CD,HCPCS Second Modifier Code,CHAR,5.0,16.0,
MDFR_CD3,HCPCS_3RD_MDFR_CD,HCPCS Third Modifier Code,CHAR,5.0,39.0,
MDFR_CD4,HCPCS_4TH_MDFR_CD,HCPCS Fourth Modifier Code,CHAR,5.0,40.0,
BETOS,BETOS_CD,Line Berenson-Eggers Type of Service (BETOS) Code,CHAR,3.0,17.0,
LINEPMT,LINE_NCH_PMT_AMT,Line NCH Medicare Payment Amount,NUM,12.0,18.0,
LBENPMT,LINE_BENE_PMT_AMT,Line Payment Amount to Beneficiary,NUM,12.0,19.0,
LPRVPMT,LINE_PRVDR_PMT_AMT,Line Provider Payment Amount,NUM,12.0,20.0,
LDEDAMT,LINE_BENE_PTB_DDCTBL_AMT,Line Beneficiary Part B Deductible Amount,NUM,12.0,21.0,
LPRPAYCD,LINE_BENE_PRMRY_PYR_CD,Line Primary Payer Code (if not Medicare),CHAR,1.0,22.0,
LPRPDAMT,LINE_BENE_PRMRY_PYR_PD_AMT,Line Primary Payer (if not Medicare) Paid Amount,NUM,12.0,23.0,
COINAMT,LINE_COINSRNC_AMT,Line Beneficiary Coinsurance Amount,NUM,12.0,24.0,
PRPYALOW,LINE_PRMRY_ALOWD_CHRG_AMT,Line Primary Payer Allowed Charge Amount,NUM,12.0,25.0,
LSBMTCHG,LINE_SBMTD_CHRG_AMT,Line Submitted Charge Amount,NUM,12.0,26.0,
LALOWCHG,LINE_ALOWD_CHRG_AMT,Line Allowed Charge Amount,NUM,12.0,27.0,
PRCNGIND,LINE_PRCSG_IND_CD,Line Processing Indicator Code,CHAR,2.0,28.0,
PMTINDSW,LINE_PMT_80_100_CD,Line Payment 80% / 100% Code,CHAR,1.0,29.0,
DED_SW,LINE_SERVICE_DEDUCTIBLE,Line Service Deductible Indicator Switch,CHAR,1.0,30.0,
LINE_ICD_DGNS_CD,LINE_ICD_DGNS_CD,Line Diagnosis Code,CHAR,7.0,31.0,
LINE_ICD_DGNS_VRSN_CD,LINE_ICD_DGNS_VRSN_CD,Line Diagnosis Code Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,32.0,
DME_PURC,LINE_DME_PRCHS_PRICE_AMT,Line DME Purchase Price Amount,NUM,12.0,33.0,
SUPLRNUM,PRVDR_NUM,DMERC Line Supplier Provider Number,CHAR,10.0,34.0,
SUP_NPI,PRVDR_NPI,DMERC Line Item Supplier NPI Number,CHAR,12.0,35.0,
PRCNG_ST,DMERC_LINE_PRCNG_STATE_CD,DMERC Line Pricing State Code (SSA),CHAR,2.0,36.0,
PRVSTATE,PRVDR_STATE_CD,Line Provider State Code (SSA),CHAR,2.0,37.0,
SUP_TYPE,DMERC_LINE_SUPPLR_TYPE_CD,DMERC Line Supplier Type Code,CHAR,1.0,38.0,
SCRNSVGS,DMERC_LINE_SCRN_SVGS_AMT,DMERC Line Screen Savings Amount,NUM,12.0,41.0,
DME_UNIT,DMERC_LINE_MTUS_CNT,DMERC Line Miles/Time/Units/Services (MTUS) Count ,NUM,11.0,42.0,
UNIT_IND,DMERC_LINE_MTUS_CD,DMERC Line Miles/Time/ Units/Services (MTUS) Indicator Code,CHAR,1.0,43.0,
HCTHGBRS,LINE_HCT_HGB_RSLT_NUM,Hematocrit / Hemoglobin Test Results,NUM,4.0,44.0,
HCTHGBTP,LINE_HCT_HGB_TYPE_CD,Hematocrit / Hemoglobin Test Type Code,CHAR,2.0,45.0,
LNNDCCD,LINE_NDC_CD,Line National Drug Code (NDC),CHAR,11.0,46.0,
LINE_OTHR_APLD_IND_CD1,LINE_OTHR_APLD_IND_CD1,Line Other Applied Indicator 1 Code,CHAR,2.0,47.0,
LINE_OTHR_APLD_IND_CD2,LINE_OTHR_APLD_IND_CD2,Line Other Applied Indicator 2 Code,CHAR,2.0,48.0,
LINE_OTHR_APLD_IND_CD3,LINE_OTHR_APLD_IND_CD3,Line Other Applied Indicator 3 Code,CHAR,2.0,49.0,
LINE_OTHR_APLD_IND_CD4,LINE_OTHR_APLD_IND_CD4,Line Other Applied Indicator 4 Code,CHAR,2.0,50.0,
LINE_OTHR_APLD_IND_CD5,LINE_OTHR_APLD_IND_CD5,Line Other Applied Indicator 5 Code,CHAR,2.0,51.0,
LINE_OTHR_APLD_IND_CD6,LINE_OTHR_APLD_IND_CD6,Line Other Applied Indicator 6 Code,CHAR,2.0,52.0,
LINE_OTHR_APLD_IND_CD7,LINE_OTHR_APLD_IND_CD7,Line Other Applied Indicator 7 Code,CHAR,2.0,53.0,
LINE_OTHR_APLD_AMT1,LINE_OTHR_APLD_AMT1,Line Other Applied 1 Amount,NUM,12.0,54.0,
