Short SAS name,Long SAS name,Label,Type,Length,HOP file sequence1,New variables
BENE_ID,BENE_ID,Encrypted CCW Beneficiary ID,CHAR,15.0,1.0,
CLM_ID,CLM_ID,Claim ID,CHAR,15.0,2.0,
RIC_CD,NCH_NEAR_LINE_REC_IDENT_CD,NCH Near Line Record Identification Code (RIC),CHAR,1.0,3.0,
CLM_TYPE,NCH_CLM_TYPE_CD,NCH Claim Type Code,CHAR,2.0,4.0,
FROM_DT,CLM_FROM_DT,Claim From Date,DATE,8.0,5.0,
THRU_DT,CLM_THRU_DT,Claim Through Date,DATE,8.0,6.0,
WKLY_DT,NCH_WKLY_PROC_DT,NCH Weekly Claim Processing Date,DATE,8.0,7.0,
FI_CLM_PROC_DT,FI_CLM_PROC_DT,FI Claim Process Date,DATE,8.0,8.0,
QUERY_CD,CLAIM_QUERY_CODE,Claim Query Code,CHAR,1.0,9.0,
PROVIDER,PRVDR_NUM,Provider Number,CHAR,6.0,10.0,
PRVDR_FULL_CCN_NUM,PRVDR_FULL_CCN_NUM,Full CMS Certification Number for Provider,CHAR,13.0,165.0,New5
FAC_TYPE,CLM_FAC_TYPE_CD,Claim Facility Type Code,CHAR,1.0,11.0,
OWNG_PRVDR_TIN_NUM,OWNG_PRVDR_TIN_NUM,Owning Provider Tax Identification Number (TIN),CHAR,10.0,161.0,New5
TYPESRVC,CLM_SRVC_CLSFCTN_TYPE_CD,Claim Service classification Type Code,CHAR,1.0,12.0,
FREQ_CD,CLM_FREQ_CD,Claim Frequency Code,CHAR,1.0,13.0,
FI_NUM,FI_NUM,FI or MAC Number,CHAR,5.0,14.0,
NOPAY_CD,CLM_MDCR_NON_PMT_RSN_CD,Claim Medicare Non Payment Reason Code,CHAR,2.0,15.0,
PMT_AMT,CLM_PMT_AMT,Claim (Medicare) Payment Amount,NUM,12.0,16.0,
PRPAYAMT,NCH_PRMRY_PYR_CLM_PD_AMT,NCH Primary Payer (if not Medicare) Claim Paid Amount,NUM,12.0,17.0,
PRPAY_CD,NCH_PRMRY_PYR_CD,NCH Primary Payer Code (if not Medicare),CHAR,1.0,18.0,
ACTIONCD,FI_CLM_ACTN_CD,FI or MAC Claim Action Code,CHAR,1.0,143.0,
PRSTATE,PRVDR_STATE_CD,NCH Provider SSA State Code,CHAR,2.0,19.0,
ORGNPINM,ORG_NPI_NUM,Organization NPI Number,CHAR,10.0,20.0,
SRVC_LOC_NPI_NUM,SRVC_LOC_NPI_NUM,Claim Service Location NPI Number,CHAR,22.0,21.0,
AT_UPIN,AT_PHYSN_UPIN,Claim Attending Physician UPIN Number,CHAR,6.0,22.0,
AT_NPI,AT_PHYSN_NPI,Claim Attending Physician NPI Number,CHAR,10.0,23.0,
AT_PHYSN_SPCLTY_CD,AT_PHYSN_SPCLTY_CD,Claim Attending Physician Specialty Code,CHAR,2.0,24.0,
OP_UPIN,OP_PHYSN_UPIN,Claim Operating Physician UPIN Number,CHAR,6.0,25.0,
OP_NPI,OP_PHYSN_NPI,Claim Operating Physician NPI Number,CHAR,10.0,26.0,
OP_PHYSN_SPCLTY_CD,OP_PHYSN_SPCLTY_CD,Claim Operating Physician Specialty Code,CHAR,2.0,27.0,
OT_UPIN,OT_PHYSN_UPIN,Claim Other Physician UPIN Number,CHAR,6.0,28.0,
OT_NPI,OT_PHYSN_NPI,Claim Other Physician NPI Number,CHAR,10.0,29.0,
OT_PHYSN_SPCLTY_CD,OT_PHYSN_SPCLTY_CD,Claim Other Physician Specialty Code,CHAR,2.0,30.0,
RNDRNG_PHYSN_NPI,RNDRNG_PHYSN_NPI,Claim Rendering Physician NPI Number ,CHAR,12.0,31.0,
RNDRNG_PHYSN_SPCLTY_CD,RNDRNG_PHYSN_SPCLTY_CD,Claim Rendering Physician Specialty Code,CHAR,2.0,32.0,
RFR_PHYSN_NPI,RFR_PHYSN_NPI,Claim Referring Physician NPI Number,CHAR,12.0,33.0,
RFR_PHYSN_SPCLTY_CD,RFR_PHYSN_SPCLTY_CD,Claim Referring Physician Specialty Code,CHAR,2.0,34.0,
MCOPDSW,CLM_MCO_PD_SW,Claim MCO Paid Switch,CHAR,1.0,35.0,
STUS_CD,PTNT_DSCHRG_STUS_CD,Patient Discharge Status Code,CHAR,2.0,36.0,
TOT_CHRG,CLM_TOT_CHRG_AMT,Claim Total Charge Amount,NUM,12.0,37.0,
BLDDEDAM,NCH_BENE_BLOOD_DDCTBL_LBLTY_AM,NCH Beneficiary Blood Deductible Liability Amount,NUM,12.0,38.0,
PCCHGAMT,NCH_PROFNL_CMPNT_CHRG_AMT,NCH Professional Component Charge Amount,NUM,12.0,39.0,
BLDFRNSH,NCH_BLOOD_PNTS_FRNSHD_QTY,NCH Blood Pints Furnished Quantity,NUM,3.0,144.0,
PRNCPAL_DGNS_CD,PRNCPAL_DGNS_CD,Claim Principal Diagnosis Code,CHAR,7.0,40.0,
ICD_DGNS_CD1,ICD_DGNS_CD1,Claim Diagnosis Code I,CHAR,7.0,41.0,
ICD_DGNS_CD2,ICD_DGNS_CD2,Claim Diagnosis Code II,CHAR,7.0,42.0,
ICD_DGNS_CD3,ICD_DGNS_CD3,Claim Diagnosis Code III,CHAR,7.0,43.0,
ICD_DGNS_CD4,ICD_DGNS_CD4,Claim Diagnosis Code IV,CHAR,7.0,44.0,
ICD_DGNS_CD5,ICD_DGNS_CD5,Claim Diagnosis Code V,CHAR,7.0,45.0,
ICD_DGNS_CD6,ICD_DGNS_CD6,Claim Diagnosis Code VI,CHAR,7.0,46.0,
ICD_DGNS_CD7,ICD_DGNS_CD7,Claim Diagnosis Code VII,CHAR,7.0,47.0,
ICD_DGNS_CD8,ICD_DGNS_CD8,Claim Diagnosis Code VIII,CHAR,7.0,48.0,
ICD_DGNS_CD9,ICD_DGNS_CD9,Claim Diagnosis Code IX,CHAR,7.0,49.0,
ICD_DGNS_CD10,ICD_DGNS_CD10,Claim Diagnosis Code X,CHAR,7.0,50.0,
ICD_DGNS_CD11,ICD_DGNS_CD11,Claim Diagnosis Code XI,CHAR,7.0,51.0,
ICD_DGNS_CD12,ICD_DGNS_CD12,Claim Diagnosis Code XII,CHAR,7.0,52.0,
