Short SAS name,Long SAS name,Label,Type,Length,HOP file sequence1,New variables
BENE_ID,BENE_ID,Encrypted CCW Beneficiary ID,CHAR,15.0,1.0,
CLM_ID,CLM_ID,Claim ID,CHAR,15.0,2.0,
THRU_DT,CLM_THRU_DT,Claim Through Date ,DATE,8.0,3.0,
CLM_LN,CLM_LINE_NUM,Claim Line Number,NUM,13.0,4.0,
CLM_TYPE,NCH_CLM_TYPE_CD,NCH Claim Type Code,CHAR,2.0,5.0,
REV_CNTR,REV_CNTR,Revenue Center Code,CHAR,4.0,6.0,
REV_DT,REV_CNTR_DT,Revenue Center Date,DATE,8.0,7.0,
REVANSI1,REV_CNTR_1ST_ANSI_CD,Revenue Center 1st ANSI Code,CHAR,5.0,8.0,
REVANSI2,REV_CNTR_2ND_ANSI_CD,Revenue Center 2nd ANSI Code,CHAR,5.0,9.0,
REVANSI3,REV_CNTR_3RD_ANSI_CD,Revenue Center 3rd ANSI Code,CHAR,5.0,10.0,
REVANSI4,REV_CNTR_4TH_ANSI_CD,Revenue Center 4th ANSI Code,CHAR,5.0,11.0,
APCHIPPS,REV_CNTR_APC_HIPPS_CD,Revenue Center APC  or HIPPS Code,CHAR,5.0,12.0,
HCPCS_CD,HCPCS_CD,HCFA Common Procedure Coding System (HCPCS) Code,CHAR,5.0,13.0,
MDFR_CD1,HCPCS_1ST_MDFR_CD,HCPCS Initial Modifier Code,CHAR,5.0,14.0,
MDFR_CD2,HCPCS_2ND_MDFR_CD,HCPCS Second Modifier Code,CHAR,5.0,15.0,
MDFR_CD3,HCPCS_3RD_MDFR_CD,HCPCS Third Modifier Code ,CHAR,5.0,16.0,
MDFR_CD4,HCPCS_4th_MDFR_CD,HCPCS Fourth Modifier Code,CHAR,5.0,17.0,
PMTMTHD,REV_CNTR_PMT_MTHD_IND_CD,Revenue Center Payment Method Indicator Code,CHAR,2.0,18.0,
DSCNTIND,REV_CNTR_DSCNT_IND_CD,Revenue Center Discount Indicator Code,CHAR,1.0,19.0,
PACKGIND,REV_CNTR_PACKG_IND_CD,Revenue Center Packaging Indicator Code,CHAR,1.0,20.0,
REV_CNTR_PRCNG_IND_CD,REV_CNTR_PRCNG_IND_CD,Revenue Center Pricing Indicator Code,CHAR,2.0,44.0,
OTAF_1,REV_CNTR_OTAF_PMT_CD,Revenue Center Obligation to Accept As Full (OTAF) Payment Code,CHAR,1.0,21.0,
IDENDC,REV_CNTR_IDE_NDC_UPC_NUM,"Revenue Center IDE, NDC, or UPC Number",CHAR,24.0,22.0,
REV_UNIT,REV_CNTR_UNIT_CNT,Revenue Center Unit Count,NUM,8.0,23.0,
REV_RATE,REV_CNTR_RATE_AMT,Revenue Center Rate Amount,NUM,12.0,24.0,
REVBLOOD,REV_CNTR_BLOOD_DDCTBL_AMT,Revenue Center Blood Deductible Amount,NUM,12.0,25.0,
REVDCTBL,REV_CNTR_CASH_DDCTBL_AMT,Revenue Center Cash Deductible Amount,NUM,12.0,26.0,
WAGEADJ,REV_CNTR_COINSRNC_WGE_ADJSTD_C,Revenue Center Coinsurance/Wage Adjusted Coinsurance Amount,NUM,12.0,27.0,
RDCDCOIN,REV_CNTR_RDCD_COINSRNC_AMT,Revenue Center Reduced Coinsurance Amount,NUM,12.0,28.0,
REV_MSP1,REV_CNTR_1ST_MSP_PD_AMT,Revenue Center 1st Medicare Secondary Payer (MSP) Paid Amount,NUM,12.0,29.0,
REV_MSP2,REV_CNTR_2ND_MSP_PD_AMT,Revenue Center 2nd Medicare Secondary Payer Paid Amount,NUM,12.0,30.0,
RPRVDPMT,REV_CNTR_PRVDR_PMT_AMT,Revenue Center (Medicare) Provider Payment Amount,NUM,12.0,31.0,
RBENEPMT,REV_CNTR_BENE_PMT_AMT,Revenue Center Payment Amount to Beneficiary,NUM,12.0,32.0,
PTNTRESP,REV_CNTR_PTNT_RSPNSBLTY_PMT,Revenue Center Patient Responsibility Payment Amount,NUM,12.0,33.0,
REVPMT,REV_CNTR_PMT_AMT_AMT,Revenue Center (Medicare) Payment Amount,NUM,12.0,34.0,
REV_CHRG,REV_CNTR_TOT_CHRG_AMT,Revenue Center Total Charge Amount,NUM,12.0,35.0,
REV_NCVR,REV_CNTR_NCVRD_CHRG_AMT,Revenue Center Non-Covered Charge Amount,NUM,12.0,36.0,
REVDEDCD,REV_CNTR_DDCTBL_COINSRNC_CD,Revenue Center Deductible Coinsurance Code,CHAR,1.0,43.0,
REVSTIND,REV_CNTR_STUS_IND_CD,Revenue Center Status Indicator Code,CHAR,2.0,37.0,
RC_PTNT_ADD_ON_PYMT_AMT,RC_PTNT_ADD_ON_PYMT_AMT,Revenue Center Patient/Initial Visit Add-On Payment Amount (for initial wellness visit),NUM,12.0,47.0,
REV_CNTR_CRA_TPNIES_AMT,REV_CNTR_CRA_TPNIES_AMT,Rev Cntr Capital Related Assets Transitnl Add-on Pymnt Amt New and Innovtv Equip,NUM,12.0,53.0,New5
REV_CNTR_NDC_QTY,REV_CNTR_NDC_QTY,Revenue Center National Drug Code (NDC) Quantity,NUM,10.0,38.0,
REV_CNTR_NDC_QTY_QLFR_CD,REV_CNTR_NDC_QTY_QLFR_CD,Revenue Center NDC Quantity Qualifier Code,CHAR,2.0,39.0,
RNDRNG_PHYSN_UPIN,RNDRNG_PHYSN_UPIN,Revenue Center Rendering Physician UPIN,CHAR,12.0,40.0,
RNDRNG_PHYSN_NPI,RNDRNG_PHYSN_NPI,Revenue Center Rendering Physician NPI,CHAR,12.0,41.0,
RNDRNG_PHYSN_SPCLTY_CD,RNDRNG_PHYSN_SPCLTY_CD,Revenue Center Rendering Physician Specialty Code,CHAR,2.0,42.0,
THRPY_CAP_IND_CD1,THRPY_CAP_IND_CD1,Revenue Center Therapy Cap Indicator 1 Code,CHAR,1.0,45.0,
THRPY_CAP_IND_CD2,THRPY_CAP_IND_CD2,Revenue Center Therapy Cap Indicator 2 Code,CHAR,1.0,46.0,
REV_CNTR_THRPY_RDCTN_AMT,REV_CNTR_THRPY_RDCTN_AMT,Revenue Center Therapy Reduction Amount,NUM,12.0,54.0,New5
