Short SAS Name1,Long SAS Name2,Label,Type,Length
BENE_ID,BENE_ID,Encrypted CCW Beneficiary ID,CHAR,15.0
RFRNC_YR,BENE_ENROLLMT_REF_YR,Reference Year,NUM,4.0
ENRL_SRC,ENRL_SRC,Source of enrollment data,CHAR,3.0
SAMPLE_GROUP,SAMPLE_GROUP,"Medicare 1, 5, or 20% strict sample group indicator",CHAR,2.0
EFIVEPCT,ENHANCED_FIVE_PERCENT_FLAG,Enhanced Medicare 5% Sample Indicator,CHAR,1.0
CRNT_BIC,CRNT_BIC_CD,Current Beneficiary Identification Code,CHAR,2.0
STATE_CD,STATE_CODE,State code for beneficiary (SSA code),CHAR,2.0
CNTY_CD,COUNTY_CD,County code for beneficiary (SSA code),CHAR,3.0
ZIP_CD,ZIP_CD,5-digit ZIP code for beneficiary,CHAR,5.0
STATE_CNTY_FIPS_CD_01,STATE_CNTY_FIPS_CD_01,State and county FIPS code - January,CHAR,5.0
STATE_CNTY_FIPS_CD_02,STATE_CNTY_FIPS_CD_02,State and county FIPS code - February,CHAR,5.0
STATE_CNTY_FIPS_CD_03,STATE_CNTY_FIPS_CD_03,State and county FIPS code - March,CHAR,5.0
STATE_CNTY_FIPS_CD_04,STATE_CNTY_FIPS_CD_04,State and county FIPS code - April,CHAR,5.0
STATE_CNTY_FIPS_CD_05,STATE_CNTY_FIPS_CD_05,State and county FIPS code - May,CHAR,5.0
STATE_CNTY_FIPS_CD_06,STATE_CNTY_FIPS_CD_06,State and county FIPS code - June,CHAR,5.0
STATE_CNTY_FIPS_CD_07,STATE_CNTY_FIPS_CD_07,State and county FIPS code - July,CHAR,5.0
STATE_CNTY_FIPS_CD_08,STATE_CNTY_FIPS_CD_08,State and county FIPS code - August,CHAR,5.0
STATE_CNTY_FIPS_CD_09,STATE_CNTY_FIPS_CD_09,State and county FIPS code - September,CHAR,5.0
STATE_CNTY_FIPS_CD_10,STATE_CNTY_FIPS_CD_10,State and county FIPS code - October,CHAR,5.0
STATE_CNTY_FIPS_CD_11,STATE_CNTY_FIPS_CD_11,State and county FIPS code - November,CHAR,5.0
STATE_CNTY_FIPS_CD_12,STATE_CNTY_FIPS_CD_12,State and county FIPS code - December,CHAR,5.0
AGE,AGE_AT_END_REF_YR,Age of beneficiary at end of year,NUM,3.0
BENE_DOB,BENE_BIRTH_DT,Beneficiary date of birth,DATE,8.0
V_DOD_SW,VALID_DEATH_DT_SW,Valid Date of Death Switch,CHAR,1.0
DEATH_DT,BENE_DEATH_DT,Date of Death,DATE,8.0
SEX,SEX_IDENT_CD,Sex,CHAR,1.0
RACE,BENE_RACE_CD,Beneficiary Race Code,CHAR,1.0
RTI_RACE_CD,RTI_RACE_CD,Research Triangle Institute (RTI) Race Code,CHAR,1.0
COVSTART,COVSTART,Medicare Coverage Start Date,DATE,8.0
OREC,ENTLMT_RSN_ORIG,Original Reason for Entitlement Code,CHAR,1.0
CREC,ENTLMT_RSN_CURR,Current Reason for Entitlement Code,CHAR,1.0
ESRD_IND,ESRD_IND,End-stage Renal Disease (ESRD) Indicator,CHAR,1.0
MDCR_STUS_CD_01,MDCR_STATUS_CODE_01,Medicare Status Code - January,CHAR,2.0
MDCR_STUS_CD_02,MDCR_STATUS_CODE_02,Medicare Status Code - February,CHAR,2.0
MDCR_STUS_CD_03,MDCR_STATUS_CODE_03,Medicare Status Code - March,CHAR,2.0
MDCR_STUS_CD_04,MDCR_STATUS_CODE_04,Medicare Status Code - April,CHAR,2.0
MDCR_STUS_CD_05,MDCR_STATUS_CODE_05,Medicare Status Code - May,CHAR,2.0
MDCR_STUS_CD_06,MDCR_STATUS_CODE_06,Medicare Status Code - June,CHAR,2.0
MDCR_STUS_CD_07,MDCR_STATUS_CODE_07,Medicare Status Code - July,CHAR,2.0
MDCR_STUS_CD_08,MDCR_STATUS_CODE_08,Medicare Status Code - August,CHAR,2.0
MDCR_STUS_CD_09,MDCR_STATUS_CODE_09,Medicare Status Code - September,CHAR,2.0
MDCR_STUS_CD_10,MDCR_STATUS_CODE_10,Medicare Status Code - October,CHAR,2.0
MDCR_STUS_CD_11,MDCR_STATUS_CODE_11,Medicare Status Code - November,CHAR,2.0
MDCR_STUS_CD_12,MDCR_STATUS_CODE_12,Medicare Status Code - December,CHAR,2.0
A_TRM_CD,BENE_PTA_TRMNTN_CD,Part A Termination Code,CHAR,1.0
B_TRM_CD,BENE_PTB_TRMNTN_CD,Part B Termination Code,CHAR,1.0
A_MO_CNT,BENE_HI_CVRAGE_TOT_MONS,Part A Months Count,NUM,3.0
B_MO_CNT,BENE_SMI_CVRAGE_TOT_MONS,Part B Months Count,NUM,3.0
BUYIN_MO,BENE_STATE_BUYIN_TOT_MONS,State Buy-In Coverage Count,NUM,3.0
HMO_MO,BENE_HMO_CVRAGE_TOT_MONS,HMO Coverage Count,NUM,3.0
PTD_MO,PTD_PLAN_CVRG_MONS,Months of Part D Coverage,NUM,3.0
RDS_MO,RDS_CVRG_MONS,Months of Retiree Drug Subsidy Coverage,NUM,3.0
DUAL_MO,DUAL_ELGBL_MONS,Months of Dual Eligibility,NUM,3.0
BUYIN01 ,MDCR_ENTLMT_BUYIN_IND_01,Medicare Entitlement/Buy-In Indicator - January,CHAR,1.0
BUYIN02,MDCR_ENTLMT_BUYIN_IND_02,Medicare  Entitlement/Buy-In Indicator - February,CHAR,1.0
BUYIN03,MDCR_ENTLMT_BUYIN_IND_03,Medicare  Entitlement/Buy-In Indicator - March,CHAR,1.0
BUYIN04,MDCR_ENTLMT_BUYIN_IND_04,Medicare  Entitlement/Buy-In Indicator - April,CHAR,1.0
BUYIN05,MDCR_ENTLMT_BUYIN_IND_05,Medicare  Entitlement/Buy-In Indicator - May,CHAR,1.0
BUYIN06,MDCR_ENTLMT_BUYIN_IND_06,Medicare  Entitlement/Buy-In Indicator - June,CHAR,1.0
BUYIN07,MDCR_ENTLMT_BUYIN_IND_07,Medicare  Entitlement/Buy-In Indicator - July,CHAR,1.0
BUYIN08,MDCR_ENTLMT_BUYIN_IND_08,Medicare  Entitlement/Buy-In Indicator - August,CHAR,1.0
BUYIN09,MDCR_ENTLMT_BUYIN_IND_09,Medicare  Entitlement/Buy-In Indicator - September,CHAR,1.0
BUYIN10,MDCR_ENTLMT_BUYIN_IND_10,Medicare  Entitlement/Buy-In Indicator - October,CHAR,1.0
BUYIN11,MDCR_ENTLMT_BUYIN_IND_11,Medicare  Entitlement/Buy-In Indicator - November,CHAR,1.0
BUYIN12,MDCR_ENTLMT_BUYIN_IND_12,Medicare  Entitlement/Buy-In Indicator - December,CHAR,1.0
HMOIND01 ,HMO_IND_01,HMO Indicator - January ,CHAR,1.0
HMOIND02,HMO_IND_02,HMO Indicator - February,CHAR,1.0
HMOIND03,HMO_IND_03,HMO Indicator - March,CHAR,1.0
HMOIND04,HMO_IND_04,HMO Indicator - April,CHAR,1.0
HMOIND05,HMO_IND_05,HMO Indicator - May,CHAR,1.0
HMOIND06,HMO_IND_06,HMO Indicator - June,CHAR,1.0
HMOIND07,HMO_IND_07,HMO Indicator - July,CHAR,1.0
HMOIND08,HMO_IND_08,HMO Indicator - August,CHAR,1.0
HMOIND09,HMO_IND_09,HMO Indicator - September,CHAR,1.0
HMOIND10,HMO_IND_10,HMO Indicator - October,CHAR,1.0
HMOIND11,HMO_IND_11,HMO Indicator - November,CHAR,1.0
HMOIND12,HMO_IND_12,HMO Indicator - December,CHAR,1.0
PTC_CNTRCT_ID_01,PTC_CNTRCT_ID_01,Part C Contract Number - January,CHAR,5.0
PTC_CNTRCT_ID_02,PTC_CNTRCT_ID_02,Part C Contract Number - February,CHAR,5.0
PTC_CNTRCT_ID_03,PTC_CNTRCT_ID_03,Part C Contract Number - March,CHAR,5.0
PTC_CNTRCT_ID_04,PTC_CNTRCT_ID_04,Part C Contract Number - April,CHAR,5.0
PTC_CNTRCT_ID_05,PTC_CNTRCT_ID_05,Part C Contract Number - May,CHAR,5.0
PTC_CNTRCT_ID_06,PTC_CNTRCT_ID_06,Part C Contract Number - June,CHAR,5.0
PTC_CNTRCT_ID_07,PTC_CNTRCT_ID_07,Part C Contract Number - July,CHAR,5.0
PTC_CNTRCT_ID_08,PTC_CNTRCT_ID_08,Part C Contract Number - August,CHAR,5.0
PTC_CNTRCT_ID_09,PTC_CNTRCT_ID_09,Part C Contract Number - September,CHAR,5.0
