Short SAS Name1,Long SAS Name2,Label,Type,Length
BENE_ID,BENE_ID,Encrypted CCW Beneficiary ID,CHAR,15.0
RFRNC_YR,RFRNC_YR,Reference Year,DATE,4.0
ENRL_SRC,ENRL_SRC,Source of enrollment data,CHAR,3.0
ACP_MEDICARE,ACP_MEDICARE,ADHD and Other Conduct Disorders End-of-Year Indicator - Medicare Only Claims,NUM,1.0
ACP_MEDICARE_EVER,ACP_MEDICARE_EVER,ADHD and Other Conduct Disorders First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
ALCO_MEDICARE,ALCO_MEDICARE,Alcohol Use Disorders End-of-Year Indicator - Medicare Only Claims,NUM,1.0
ALCO_MEDICARE_EVER,ALCO_MEDICARE_EVER,Alcohol Use Disorders First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
ANXI_MEDICARE,ANXI_MEDICARE,Anxiety Disorders End-of-Year Indicator - Medicare Only Claims,NUM,1.0
ANXI_MEDICARE_EVER,ANXI_MEDICARE_EVER,Anxiety Disorders First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
AUTISM_MEDICARE,AUTISM_MEDICARE,Autism Spectrum Disorders End-of-Year Indicator - Medicare Only Claims,NUM,1.0
AUTISM_MEDICARE_EVER,AUTISM_MEDICARE_EVER,Autism Spectrum Disorders First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
BIPL_MEDICARE,BIPL_MEDICARE,Bipolar Disorder End-of-Year Indicator - Medicare Only Claims,NUM,1.0
BIPL_MEDICARE_EVER,BIPL_MEDICARE_EVER,Bipolar Disorder First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
BRAINJ_MEDICARE,BRAINJ_MEDICARE,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage End-of-Year Indicator  - Medicare Only Claims,NUM,1.0
BRAINJ_MEDICARE_EVER,BRAINJ_MEDICARE_EVER,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
CERPAL_MEDICARE,CERPAL_MEDICARE,Cerebral Palsy End-of-Year Indicator - Medicare Only Claims,NUM,1.0
CERPAL_MEDICARE_EVER,CERPAL_MEDICARE_EVER,Cerebral Palsy First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
CYSFIB_MEDICARE,CYSFIB_MEDICARE,Cystic Fibrosis and Other Metabolic Developmental Disorders End-of-Year Indicator - Medicare Only Claims,NUM,1.0
CYSFIB_MEDICARE_EVER,CYSFIB_MEDICARE_EVER,Cystic Fibrosis and Other Metabolic Developmental Disorders First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
DEPSN_MEDICARE,DEPSN_MEDICARE,Major Depressive Affective Disorder End-of-Year Indicator - Medicare Only Claims,NUM,1.0
DEPSN_MEDICARE_EVER,DEPSN_MEDICARE_EVER,Major Depressive Affective Disorder First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
DRUG_MEDICARE,DRUG_MEDICARE,Drug Use Disorders End-of-Year Indicator - Medicare Only Claims,NUM,1.0
DRUG_MEDICARE_EVER,DRUG_MEDICARE_EVER,Drug Use Disorders First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
